Initial state,P(Loser = Player 1)
"(1, 1, 1)",1/3
"(1, 1, 2)",3/7
"(1, 1, 3)",19/42
"(1, 1, 4)",44/93
"(1, 1, 5)",631/1308
"(1, 1, 6)",22376/46095
"(1, 1, 7)",7330/15019
"(1, 1, 8)",23935027/48690978
"(1, 1, 9)",10427014/21109053
"(1, 1, 10)",55410683846/111972079949
"(1, 2, 1)",3/7
"(1, 2, 2)",3/7
"(1, 2, 3)",113/217
"(1, 2, 4)",60/109
"(1, 2, 5)",59786/107555
"(1, 2, 6)",8298/15019
"(1, 2, 7)",32214606/56806141
"(1, 2, 8)",4052550/7036351
"(1, 2, 9)",9520691348078/16459895752503
"(1, 2, 10)",124031295624/213378126031
"(1, 3, 1)",19/42
"(1, 3, 2)",113/217
"(1, 3, 3)",307/654
"(1, 3, 4)",1207/2195
"(1, 3, 5)",52181/90114
"(1, 3, 6)",4770930/8115163
"(1, 3, 7)",25240097/42218106
"(1, 3, 8)",1400282283425/2351413678929
"(1, 3, 9)",124828754503/213378126031
"(1, 3, 10)",329163154048825171/550686146155668984
"(1, 4, 1)",44/93
"(1, 4, 2)",60/109
"(1, 4, 3)",1207/2195
"(1, 4, 4)",7379/15019
"(1, 4, 5)",27650603/48690978
"(1, 4, 6)",602591/1005193
"(1, 4, 7)",1426448389150/2351413678929
"(1, 4, 8)",130877374629/213378126031
"(1, 4, 9)",9947088885861389/16196651357519676
"(1, 4, 10)",21393083726023/34675064776757
"(1, 5, 1)",631/1308
"(1, 5, 2)",59786/107555
"(1, 5, 3)",52181/90114
"(1, 5, 4)",27650603/48690978
"(1, 5, 5)",3522116/7036351
"(1, 5, 6)",1355257729024/2351413678929
"(1, 5, 7)",518279851625/853512504124
"(1, 5, 8)",28156702724520343/45890512179639082
"(1, 5, 9)",258287600248547/416100777321084
"(1, 5, 10)",3377957002474178998319/5419201597936350337715
"(1, 6, 1)",22376/46095
"(1, 6, 2)",8298/15019
"(1, 6, 3)",4770930/8115163
"(1, 6, 4)",602591/1005193
"(1, 6, 5)",1355257729024/2351413678929
"(1, 6, 6)",108017014281/213378126031
"(1, 6, 7)",80280864746739227/137671536538917246
"(1, 6, 8)",21248667640539/34675064776757
"(1, 6, 9)",30222426431864891283841/48772814381427153039435
"(1, 6, 10)",1640810152833367160839/2626941360963688147249
"(1, 7, 1)",7330/15019
"(1, 7, 2)",32214606/56806141
"(1, 7, 3)",25240097/42218106
"(1, 7, 4)",1426448389150/2351413678929
"(1, 7, 5)",518279851625/853512504124
"(1, 7, 6)",80280864746739227/137671536538917246
